학구ID,학구명,학구분류,시도코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자,제공기관코드,제공기관명,
Z000300050,전주시학교군,0,45,8320000,전라북도교육청,8331000,전라북도전주교육지원청,2016-08-12,2017-02-14,1,2019-09-16,7001220,한국교원대학교,
Z000300051,군산시학교군,0,45,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2016-08-12,2016-08-12,5,2019-09-16,7001220,한국교원대학교,
Z000300052,익산시학교군,0,45,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-12,12,2019-09-16,7001220,한국교원대학교,
Z000300053,목포시제1학교군,0,46,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2016-08-12,2016-08-12,6,2019-09-16,7001220,한국교원대학교,
Z000300054,여수시제2학교군,0,46,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2016-08-12,2016-08-12,7,2019-09-16,7001220,한국교원대학교,
Z000300055,순천시제3학교군,0,46,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,2,2019-09-16,7001220,한국교원대학교,
Z000300056,포항시제1학교군,0,47,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2016-08-12,11,2019-09-16,7001220,한국교원대학교,
Z000300057,창원시제1학교군,0,48,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2019-07-16,62,2019-09-16,7001220,한국교원대학교,
Z000300058,창원시제2학교군,0,48,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2019-07-16,61,2019-09-16,7001220,한국교원대학교,
Z000300059,진주시제3학교군,0,48,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2016-08-12,2016-08-12,57,2019-09-16,7001220,한국교원대학교,
Z000300060,김해시제4학교군,0,48,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2016-08-12,2016-08-12,56,2019-09-16,7001220,한국교원대학교,
Z000300061,제주시학교군,0,50,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2016-08-12,2017-02-14,3,2019-09-16,7001220,한국교원대학교,
Z000300062,세종시고등학군,0,36,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2018-11-05,2018-11-06,60,2019-09-16,7001220,한국교원대학교,
Z000300063,거제시제5학교군,0,48,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2019-07-22,2019-07-22,63,2019-09-16,7001220,한국교원대학교,
